,mId,mCode,mName,cId,cName,cType,cDetail,cHeight,cLat,cLot
177134,0000000001,461700101,가야산,0000000053,가야산성,문화자원,-,720.628,35.811111,128.138702
177195,0000000001,461700101,가야산,0000000058,야생화식물원,문화자원,"관람시간 오전 10시~오후 5시. 휴원 매주 월요일,1월1일, 설날, 추석",569.568,35.802654,128.142136
177256,0000000001,461700101,가야산,0000000078,가야산 역사신화 공원,문화자원,"가야 건국신화 정견모주 이야기와 가야산의 자연과 역사, 문화를 만날수 있는곳.(코로나로 임시 휴관)",537.135,35.800888,128.141891
177378,0000000001,461700101,가야산,0000000120,청량사 사찰,문화자원,-,0.0,35.772179,128.109665
177439,0000000001,461700101,가야산,0000000121,바위에 갖힌 부처,문화자원,해인아트 프로젝트,371.742,35.780186,128.118362
177500,0000000001,461700101,가야산,0000000122,해인사,문화자원,해인사의 우수한 역사문화와 세계기록 유산으로 등재된 팔만대장경을 통해 선조들의 지혜를 엿볼수 있습니다,643.155,35.800606,128.097229
177561,0000000001,461700101,가야산,0000000175,청량사 석등,문화자원,보물 제 253호. 네모난 지대석위의 하대석은 팔각으로 안상에 사자와 운상누각이 교대로 새겨져 있다.전체적으로 균형을 잃지않아 안정감을 보이고있는 전형적인 통일신라시대 석등이다,626.264,35.772488,128.109436
177622,0000000001,461700101,가야산,0000000176,청량사 삼층석탑,문화자원,보물 제266호.이 탑은 이중기단 위에 삼층의 탑신을 갖춘 전형적인 신라 석탑이다,627.071,35.772488,128.109436
177683,0000000001,461700101,가야산,0000000177,청량사 석조석가여래좌상,문화자원,"보물 제 265호.나발의 머리에는 육계가 뚜렷하고 단아한 얼굴표정, 안정되고 조용한 신체 형태는 현실적 사실주의 양식으로 석굴암 불상과 함께 불상양식 전개에 중요한 위치를 차지 한다",628.683,35.772327,128.109665
177805,0000000002,-,가리산,0000000227,해병대 가리산 전투전적비,문화자원,해병대 1951.3.19~3.25 전투승리기념,368.907,37.86441,127.984291
